Journal Name,ISSN,2021 JIF,eISSN,Category
ACS Synthetic Biology,2161-5063,5.249,N/A,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1)
Journal of Product and Brand Management,1061-0421,5.248,2054-1643,MANAGEMENT - SSCI(Q2); BUSINESS - SSCI(Q2)
World Journal of Stem Cells,1948-0210,5.247,1948-0210,CELL BIOLOGY - SCIE(Q2); CELL & TISSUE ENGINEERING - SCIE(Q2)
Frontiers in Marine Science,N/A,5.247,2296-7745,MARINE & FRESHWATER BIOLOGY - SCIE(Q1)
Journal of Services Marketing,0887-6045,5.246,0887-6045,BUSINESS - SSCI(Q2)
Current Topics in Developmental Biology,0070-2153,5.242,N/A,DEVELOPMENTAL BIOLOGY - SCIE(Q1)
LANGUAGE LEARNING,0023-8333,5.24,1467-9922,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1); LINGUISTICS - SSCI(Q1)
Biofuels Bioproducts & Biorefining-Biofpr,1932-104X,5.239,1932-1031,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2); ENERGY & FUELS - SCIE(Q2)
Political Science Research and Methods,2049-8470,5.239,2049-8489,POLITICAL SCIENCE - SSCI(Q1)
Service Business,1862-8516,5.236,1862-8508,MANAGEMENT - SSCI(Q2); BUSINESS - SSCI(Q2)
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,0739-1102,5.235,1538-0254,BIOPHYSICS - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,0035-8711,5.235,1365-2966,ASTRONOMY & ASTROPHYSICS - SCIE(Q1)
Journal of the Pediatric Infectious Diseases Society,2048-7193,5.235,2048-7207,PEDIATRICS - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q2)
JOURNAL OF CELL SCIENCE,0021-9533,5.235,1477-9137,CELL BIOLOGY - SCIE(Q2)
Journal of the Academy of Nutrition and Dietetics,2212-2672,5.234,2212-2680,NUTRITION & DIETETICS - SCIE(Q2)
IEEE Transactions on Biomedical Circuits and Systems,1932-4545,5.234,1940-9990,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); ENGINEERING, BIOMEDICAL - SCIE(Q2)"
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,5.231,1610-0387,DERMATOLOGY - SCIE(Q1)
IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,5.229,1558-223X,ROBOTICS - SCIE(Q2); AUTOMATION & CONTROL SYSTEMS - SCIE(Q2)
DRUG SAFETY,0114-5916,5.228,1179-1942,"PHARMACOLOGY & PHARMACY - SCIE(Q1); TOXICOLOGY - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,1388-1981,5.228,1879-2618,BIOPHYSICS - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2); CELL BIOLOGY - SCIE(Q2)
ANALYST,0003-2654,5.227,1364-5528,"CHEMISTRY, ANALYTICAL - SCIE(Q1)"
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1077-2626,5.226,1941-0506,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q1)"
Journal of Functional Foods,1756-4646,5.223,2214-9414,NUTRITION & DIETETICS - SCIE(Q2); FOOD SCIENCE & TECHNOLOGY - SCIE(Q2)
Antibiotics-Basel,2079-6382,5.222,2079-6382,PHARMACOLOGY & PHARMACY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q2)
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,5.221,1573-742X,PERIPHERAL VASCULAR DISEASE - SCIE(Q2); HEMATOLOGY - SCIE(Q2); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q2)
ACADEMIC EMERGENCY MEDICINE,1069-6563,5.221,1553-2712,EMERGENCY MEDICINE - SCIE(Q1)
European Journal of Teacher Education,0261-9768,5.219,1469-5928,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1)
COMPUTERS AND GEOTECHNICS,0266-352X,5.218,1873-7633,"ENGINEERING, GEOLOGICAL - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,0032-3772,5.218,1897-9483,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2169-897X,5.217,2169-8996,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1)
Pharmaceuticals,N/A,5.215,1424-8247,"PHARMACOLOGY & PHARMACY - SCIE(Q1); CHEMISTRY, MEDICINAL - SCIE(Q2)"
Obesity Research & Clinical Practice,1871-403X,5.214,1878-0318,NUTRITION & DIETETICS - SCIE(Q2); ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Minerva Urology and Nephrology,2724-6051,5.214,2724-6442,UROLOGY & NEPHROLOGY - SCIE(Q1)
Health Policy and Technology,2211-8837,5.211,N/A,HEALTH POLICY & SERVICES - SSCI(Q1)
Journal of NeuroEngineering and Rehabilitation,N/A,5.208,1743-0003,"REHABILITATION - SCIE(Q1); ENGINEERING, BIOMEDICAL - SCIE(Q2); NEUROSCIENCES - SCIE(Q2)"
MINERALIUM DEPOSITA,0026-4598,5.206,1432-1866,MINERALOGY - SCIE(Q1); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1)
HABITAT INTERNATIONAL,0197-3975,5.205,1873-5428,DEVELOPMENT STUDIES - SSCI(Q1); URBAN STUDIES - SSCI(Q1); REGIONAL & URBAN PLANNING - SSCI(Q1); ENVIRONMENTAL STUDIES - SSCI(Q2)
POLYMER DEGRADATION AND STABILITY,0141-3910,5.204,1873-2321,POLYMER SCIENCE - SCIE(Q1)
Science China-Physics Mechanics & Astronomy,1674-7348,5.203,1869-1927,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
AQUATIC TOXICOLOGY,0166-445X,5.202,1879-1514,TOXICOLOGY - SCIE(Q1); MARINE & FRESHWATER BIOLOGY - SCIE(Q1)
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,0278-5846,5.201,1878-4216,PHARMACOLOGY & PHARMACY - SCIE(Q2); CLINICAL NEUROLOGY - SCIE(Q2); PSYCHIATRY - SCIE(Q2); NEUROSCIENCES - SCIE(Q2)
ASN Neuro,1759-0914,5.2,1759-0914,NEUROSCIENCES - SCIE(Q2)
Reaction Chemistry & Engineering,2058-9883,5.2,2058-9883,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q2); ENGINEERING, CHEMICAL - SCIE(Q2)"
DERMATOLOGY,1018-8665,5.197,1421-9832,DERMATOLOGY - SCIE(Q1)
EUROPEAN JOURNAL OF PHARMACOLOGY,0014-2999,5.195,1879-0712,PHARMACOLOGY & PHARMACY - SCIE(Q2)
JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,5.195,1872-7573,"INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE(Q1); PLANT SCIENCES - SCIE(Q1); CHEMISTRY, MEDICINAL - SCIE(Q2); PHARMACOLOGY & PHARMACY - SCIE(Q2)"
IEEE TRANSACTIONS ON BROADCASTING,0018-9316,5.194,1557-9611,"TELECOMMUNICATIONS - SCIE(Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
Petroleum Exploration and Development,1000-0747,5.194,N/A,"ENGINEERING, PETROLEUM - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1); ENERGY & FUELS - SCIE(Q2)"
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,5.19,1614-7499,ENVIRONMENTAL SCIENCES - SCIE(Q2)
Phytobiomes Journal,N/A,5.19,2471-2906,PLANT SCIENCES - SCIE(Q1); MICROBIOLOGY - SCIE(Q2)
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,1085-9489,5.188,1529-8027,NEUROSCIENCES - SCIE(Q2); CLINICAL NEUROLOGY - SCIE(Q2)
ACCOUNTING REVIEW,0001-4826,5.182,1558-7967,"BUSINESS, FINANCE - SSCI(Q1)"
HELICOBACTER,1083-4389,5.182,1523-5378,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2); MICROBIOLOGY - SCIE(Q2)
Advances in Ecological Research,0065-2504,5.182,2163-582X,ECOLOGY - SCIE(Q1)
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,0961-5539,5.181,1758-6585,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); THERMODYNAMICS - SCIE(Q1); MECHANICS - SCIE(Q1)"
EUROPEAN JOURNAL OF MARKETING,0309-0566,5.181,1758-7123,BUSINESS - SSCI(Q2)
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,5.179,2150-6000,"PSYCHOLOGY, SOCIAL - SSCI(Q1); SOCIOLOGY - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q1)"
ARTHRITIS CARE & RESEARCH,2151-464X,5.178,2151-4658,RHEUMATOLOGY - SCIE(Q2)
JOURNAL OF MACHINE LEARNING RESEARCH,1532-4435,5.177,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2); AUTOMATION & CONTROL SYSTEMS - SCIE(Q2)"
Cambridge Journal of Regions Economy and Society,1752-1378,5.176,1752-1386,DEVELOPMENT STUDIES - SSCI(Q1); ECONOMICS - SSCI(Q1); GEOGRAPHY - SSCI(Q1)
BONE MARROW TRANSPLANTATION,0268-3369,5.174,1476-5365,HEMATOLOGY - SCIE(Q2); IMMUNOLOGY - SCIE(Q2); ONCOLOGY - SCIE(Q2); TRANSPLANTATION - SCIE(Q2)
CLIMATIC CHANGE,0165-0009,5.174,1573-1480,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q2)
CELL CYCLE,1538-4101,5.173,1551-4005,CELL BIOLOGY - SCIE(Q2)
PLASTIC AND RECONSTRUCTIVE SURGERY,0032-1052,5.169,1529-4242,SURGERY - SCIE(Q1)
Biology-Basel,N/A,5.168,2079-7737,BIOLOGY - SCIE(Q1)
COMPUTERS & GEOSCIENCES,0098-3004,5.168,1873-7803,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
CHEMICO-BIOLOGICAL INTERACTIONS,0009-2797,5.168,1872-7786,TOXICOLOGY - SCIE(Q1); PHARMACOLOGY & PHARMACY - SCIE(Q2); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,0920-4105,5.168,1873-4715,"ENGINEERING, PETROLEUM - SCIE(Q1); ENERGY & FUELS - SCIE(Q2)"
Korean Journal of Anesthesiology,2005-6419,5.167,2005-7563,ANESTHESIOLOGY - SCIE(Q2)
INTERNATIONAL ENDODONTIC JOURNAL,0143-2885,5.165,1365-2591,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)"
BJPsych Open,2056-4724,5.165,2056-4724,PSYCHIATRY - SCIE(Q2); PSYCHIATRY - SSCI(Q2)
DIGESTIVE AND LIVER DISEASE,1590-8658,5.165,1878-3562,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2)
Tobacco Induced Diseases,1617-9625,5.163,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); SUBSTANCE ABUSE - SSCI(Q1); SUBSTANCE ABUSE - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
Current Osteoporosis Reports,1544-1873,5.163,1544-2241,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
COMPUTERS & OPERATIONS RESEARCH,0305-0548,5.159,1873-765X,"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q1); ENGINEERING, INDUSTRIAL - SCIE(Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
Cold Spring Harbor Perspectives in Medicine,2157-1422,5.159,2157-1422,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
Therapeutic Advances in Respiratory Disease,1753-4658,5.158,1753-4666,RESPIRATORY SYSTEM - SCIE(Q2)
JOURNAL OF RURAL STUDIES,0743-0167,5.157,1873-1392,REGIONAL & URBAN PLANNING - SSCI(Q1); GEOGRAPHY - SSCI(Q1)
Engineering Science and Technology-An International Journal-JESTECH,2215-0986,5.155,2215-0986,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q1)"
ORGANIZATION SCIENCE,1047-7039,5.152,N/A,MANAGEMENT - SSCI(Q2)
Frontiers in Neuroscience,N/A,5.152,1662-453X,NEUROSCIENCES - SCIE(Q2)
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1365-8816,5.152,1362-3087,"GEOGRAPHY, PHYSICAL - SCIE(Q1); GEOGRAPHY - SSCI(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1)"
LGBT Health,2325-8292,5.15,2325-8306,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
JOURNAL OF URBAN TECHNOLOGY,1063-0732,5.15,1466-1853,URBAN STUDIES - SSCI(Q1)
JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,5.15,1466-4437,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q2); MANAGEMENT - SSCI(Q2)"
Journal of Virus Eradication,2055-6640,5.148,2055-6659,IMMUNOLOGY - SCIE(Q2); VIROLOGY - SCIE(Q2); INFECTIOUS DISEASES - SCIE(Q2)
ENVIRONMENTAL POLITICS,0964-4016,5.147,1743-8934,POLITICAL SCIENCE - SSCI(Q1); ENVIRONMENTAL STUDIES - SSCI(Q2)
Cancer & Metabolism,N/A,5.146,2049-3002,CELL BIOLOGY - SCIE(Q2); ONCOLOGY - SCIE(Q2)
Evolution Medicine and Public Health,N/A,5.143,2050-6201,"EVOLUTIONARY BIOLOGY - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
Frontiers of Physics,2095-0462,5.142,2095-0470,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1010-6030,5.141,1873-2666,"CHEMISTRY, PHYSICAL - SCIE(Q2)"
JOURNAL OF GENERAL VIROLOGY,0022-1317,5.141,1465-2099,VIROLOGY - SCIE(Q2); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2)
MOLECULAR CARCINOGENESIS,0899-1987,5.139,1098-2744,ONCOLOGY - SCIE(Q2); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
Journal of Contextual Behavioral Science,2212-1447,5.138,2212-1455,"PSYCHOLOGY, CLINICAL - SSCI(Q1)"
GLOBAL CHALLENGES,N/A,5.135,2056-6646,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
AQUACULTURE,0044-8486,5.135,1873-5622,MARINE & FRESHWATER BIOLOGY - SCIE(Q1); FISHERIES - SCIE(Q1)
NEUROENDOCRINOLOGY,0028-3835,5.135,1423-0194,NEUROSCIENCES - SCIE(Q2); ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
NEUROBIOLOGY OF AGING,0197-4580,5.133,1558-1497,GERIATRICS & GERONTOLOGY - SCIE(Q2); NEUROSCIENCES - SCIE(Q2)
Stem Cells International,1687-966X,5.131,1687-9678,CELL & TISSUE ENGINEERING - SCIE(Q2)
MEASUREMENT,0263-2241,5.131,1873-412X,"INSTRUMENTS & INSTRUMENTATION - SCIE(Q1); ENGINEERING, MULTIDISCIPLINARY - SCIE(Q1)"
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,5.125,1522-1539,PHYSIOLOGY - SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q2); PERIPHERAL VASCULAR DISEASE - SCIE(Q2)
Expert Review of Clinical Immunology,1744-666X,5.124,1744-8409,IMMUNOLOGY - SCIE(Q2)
Fermentation-Basel,N/A,5.123,2311-5637,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2)
DYES AND PIGMENTS,0143-7208,5.122,1873-3743,"CHEMISTRY, APPLIED - SCIE(Q1); MATERIALS SCIENCE, TEXTILES - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q2)"
HUMAN MOLECULAR GENETICS,0964-6906,5.121,1460-2083,GENETICS & HEREDITY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
MedChemComm,2040-2503,5.121,2040-2511,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2); CHEMISTRY, MEDICINAL - SCIE(Q2)"
BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,0009-2673,5.121,1348-0634,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q2)"
POLICY SCIENCES,0032-2687,5.121,1573-0891,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1); PUBLIC ADMINISTRATION - SSCI(Q1)"
JOURNAL OF MAGNETIC RESONANCE IMAGING,1053-1807,5.119,1522-2586,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)"
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,5.119,2044-8325,"MANAGEMENT - SSCI(Q2); PSYCHOLOGY, APPLIED - SSCI(Q2)"
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,5.118,1878-5476,"SPORT SCIENCES - SCIE(Q1); PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, APPLIED - SSCI(Q2); HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q2)"
JOURNAL OF ECONOMIC GEOGRAPHY,1468-2702,5.117,1468-2710,ECONOMICS - SSCI(Q1); GEOGRAPHY - SSCI(Q1)
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,0928-0987,5.112,1879-0720,PHARMACOLOGY & PHARMACY - SCIE(Q2)
International Journal of Accounting Information Systems,1467-0895,5.111,1873-4723,"BUSINESS, FINANCE - SSCI(Q1); BUSINESS - SSCI(Q2); MANAGEMENT - SSCI(Q2)"
MATURITAS,0378-5122,5.11,1873-4111,OBSTETRICS & GYNECOLOGY - SCIE(Q1); GERIATRICS & GERONTOLOGY - SCIE(Q2)
JOURNAL OF CORPORATE FINANCE,0929-1199,5.107,1872-6313,"BUSINESS, FINANCE - SSCI(Q1)"
Neonatology,1661-7800,5.106,1661-7819,PEDIATRICS - SCIE(Q1)
COMPUTERS & SECURITY,0167-4048,5.105,1872-6208,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q2)"
FOOD AND BIOPRODUCTS PROCESSING,0960-3085,5.105,1744-3571,"FOOD SCIENCE & TECHNOLOGY - SCIE(Q2); ENGINEERING, CHEMICAL - SCIE(Q2); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2)"
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,0934-9723,5.103,1435-4373,MICROBIOLOGY - SCIE(Q2); INFECTIOUS DISEASES - SCIE(Q2)
ANNALS OF THORACIC SURGERY,0003-4975,5.102,1552-6259,SURGERY - SCIE(Q1); RESPIRATORY SYSTEM - SCIE(Q2); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q2)
NEURAL COMPUTING & APPLICATIONS,0941-0643,5.102,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2)"
VALUE IN HEALTH,1098-3015,5.101,1524-4733,HEALTH CARE SCIENCES & SERVICES - SCIE(Q1); ECONOMICS - SSCI(Q1); HEALTH POLICY & SERVICES - SSCI(Q1)
Journal of Evidence-Based Dental Practice,1532-3382,5.1,1532-3390,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)"
International Journal of Mental Health Nursing,1445-8330,5.1,1447-0349,NURSING - SSCI(Q1); NURSING - SCIE(Q1); PSYCHIATRY - SCIE(Q2); PSYCHIATRY - SSCI(Q2)
International Journal of Public Health,1661-8556,5.1,1661-8564,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
GENETICS SELECTION EVOLUTION,0999-193X,5.1,1297-9686,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q1); GENETICS & HEREDITY - SCIE(Q1)"
AMERICAN HEART JOURNAL,0002-8703,5.099,1097-6744,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q2)
Journal of Insects as Food and Feed,N/A,5.099,2352-4588,ENTOMOLOGY - SCIE(Q1); FOOD SCIENCE & TECHNOLOGY - SCIE(Q2)
Allergy Asthma & Immunology Research,2092-7355,5.096,2092-7363,IMMUNOLOGY - SCIE(Q2); ALLERGY - SCIE(Q3)
INFLAMMOPHARMACOLOGY,0925-4692,5.093,1568-5608,TOXICOLOGY - SCIE(Q1); IMMUNOLOGY - SCIE(Q2)
Biogeosciences,1726-4170,5.092,1726-4189,"ECOLOGY - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
Physics of the Dark Universe,N/A,5.09,2212-6864,ASTRONOMY & ASTROPHYSICS - SCIE(Q2)
Molecular Catalysis,2468-8231,5.089,2468-8231,"CHEMISTRY, PHYSICAL - SCIE(Q2)"
JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167,5.088,1939-2168,"PSYCHOLOGY, EDUCATIONAL - SSCI(Q1); PSYCHOLOGY, APPLIED - SSCI(Q2)"
Breast Cancer-Targets and Therapy,1179-1314,5.088,1179-1314,ONCOLOGY - SCIE(Q2)
ECONOMIC GEOLOGY,0361-0128,5.086,1554-0774,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1); MINERALOGY - SCIE(Q1)
Criminology & Public Policy,1538-6473,5.085,1745-9133,CRIMINOLOGY & PENOLOGY - SSCI(Q1)
International Journal of Bank Marketing,0265-2323,5.083,1758-5937,BUSINESS - SSCI(Q2)
PHYSIOLOGIA PLANTARUM,0031-9317,5.081,1399-3054,PLANT SCIENCES - SCIE(Q1)
CURRENT TREATMENT OPTIONS IN ONCOLOGY,1527-2729,5.08,1534-6277,ONCOLOGY - SCIE(Q2)
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,5.08,1877-8755,PHYSIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
INTERNATIONAL REVIEWS OF IMMUNOLOGY,0883-0185,5.078,1563-5244,IMMUNOLOGY - SCIE(Q2)
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,5.077,1537-4424,"PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q1); PSYCHOLOGY, CLINICAL - SSCI(Q1)"
Biomedical Signal Processing and Control,1746-8094,5.076,1746-8108,"ENGINEERING, BIOMEDICAL - SCIE(Q2)"
Toxins,N/A,5.075,2072-6651,TOXICOLOGY - SCIE(Q1); FOOD SCIENCE & TECHNOLOGY - SCIE(Q2)
INTERNATIONAL IMMUNOLOGY,0953-8178,5.071,1460-2377,IMMUNOLOGY - SCIE(Q2)
OSTEOPOROSIS INTERNATIONAL,0937-941X,5.071,1433-2965,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Wiley Interdisciplinary Reviews-Cognitive Science,1939-5078,5.071,1939-5086,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1)"
MICROBIOLOGICAL RESEARCH,0944-5013,5.07,1618-0623,MICROBIOLOGY - SCIE(Q2)
MOLECULAR AND CELLULAR BIOLOGY,0270-7306,5.069,1098-5549,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2); CELL BIOLOGY - SCIE(Q2)
Journal of Clinical and Translational Hepatology,2225-0719,5.065,2310-8819,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2)
Skeletal Muscle,2044-5040,5.063,2044-5040,CELL BIOLOGY - SCIE(Q2)
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,1773-2247,5.062,2588-8943,PHARMACOLOGY & PHARMACY - SCIE(Q2)
Structural Change and Economic Dynamics,0954-349X,5.059,1873-6017,ECONOMICS - SSCI(Q1)
Review of Finance,1572-3097,5.059,1573-692X,"BUSINESS, FINANCE - SSCI(Q1); ECONOMICS - SSCI(Q1)"
JOURNAL OF PUBLIC HEALTH,1741-3842,5.058,1741-3850,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
Frontiers in Medicine,N/A,5.058,2296-858X,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
CLINICAL AND EXPERIMENTAL MEDICINE,1591-8890,5.057,1591-9528,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
Business Ethics-A European Review,0962-8770,5.056,1467-8608,ETHICS - SSCI(Q1); BUSINESS - SSCI(Q2)
BMJ Open Respiratory Research,N/A,5.054,2052-4439,RESPIRATORY SYSTEM - SCIE(Q2)
Information Communication & Society,1369-118X,5.054,1468-4462,COMMUNICATION - SSCI(Q1); SOCIOLOGY - SSCI(Q1)
Adolescent Research Review,2363-8346,5.052,2363-8354,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1); PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q1)"
ENDOCRINOLOGY,0013-7227,5.051,1945-7170,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Beneficial Microbes,1876-2883,5.05,1876-2891,MICROBIOLOGY - SCIE(Q2); NUTRITION & DIETETICS - SCIE(Q2)
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,0047-2689,5.048,1529-7845,"CHEMISTRY, PHYSICAL - SCIE(Q2); PHYSICS, MULTIDISCIPLINARY - SCIE(Q2); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q2)"
COMPUTER COMMUNICATIONS,0140-3664,5.047,1873-703X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); TELECOMMUNICATIONS - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q2)"
Bioengineering-Basel,N/A,5.046,2306-5354,"ENGINEERING, BIOMEDICAL - SCIE(Q2)"
LANDSCAPE ECOLOGY,0921-2973,5.043,1572-9761,"GEOGRAPHY, PHYSICAL - SCIE(Q1); ECOLOGY - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
